; Sample Rate 1000
; Channels 2
0.0000000000000 0.0004000000000 0.0002700000000
0.0000200000000 0.0003700000000 0.0002100000000
0.0000500000000 0.0004000000000 0.0001800000000
0.0000700000000 0.0003400000000 0.0001500000000
0.0000900000000 0.0003700000000 0.0002400000000
0.0001100000000 0.0003400000000 0.0001800000000
0.0001400000000 0.0003100000000 0.0001800000000
0.0001600000000 0.0004300000000 0.0001800000000
0.0001800000000 0.0003700000000 0.0001200000000
0.0002000000000 0.0003400000000 0.0001800000000
0.0002300000000 0.0003700000000 0.0001800000000
0.0002500000000 0.0003100000000 0.0001500000000
0.0002700000000 0.0003700000000 0.0001800000000
0.0002900000000 0.0003400000000 0.0002100000000
0.0003200000000 0.0003700000000 0.0001200000000
0.0003400000000 0.0003700000000 0.0002100000000
0.0003600000000 0.0003700000000 0.0001200000000
0.0003900000000 0.0003700000000 0.0001800000000
0.0004100000000 0.0003100000000 0.0001800000000
0.0004300000000 0.0003400000000 0.0001500000000
0.0004500000000 0.0002700000000 0.0001200000000
0.0004800000000 0.0003400000000 0.0001200000000
0.0005000000000 0.0003400000000 0.0001200000000
0.0005200000000 0.0003100000000 0.0001200000000
0.0005400000000 0.0002700000000 0.0002100000000
0.0005700000000 0.0002700000000 0.0001800000000
0.0005900000000 0.0003100000000 0.0001500000000
0.0006100000000 0.0002700000000 0.0000900000000
0.0006300000000 0.0003100000000 0.0000900000000
0.0006600000000 0.0003100000000 0.0001500000000
0.0006800000000 0.0003400000000 0.0001200000000
0.0007000000000 0.0002700000000 0.0000900000000
0.0007300000000 0.0003100000000 0.0001200000000
0.0007500000000 0.0002700000000 0.0000600000000
0.0007700000000 0.0002400000000 0.0000600000000
0.0007900000000 0.0002700000000 0.0000900000000
0.0008200000000 0.0002400000000 0.0001500000000
0.0008400000000 0.0002700000000 0.0001800000000
0.0008600000000 0.0002700000000 0.0000900000000
0.0008800000000 0.0002400000000 0.0000900000000
0.0009100000000 0.0002700000000 0.0001500000000
0.0009300000000 0.0002400000000 0.0000600000000
