; Sample Rate 44100
; Channels 2
0.0000000000000 0.4850158700000 -0.0801391600000
0.0000226757370 0.5127258300000 -0.0893554690000
0.0000453514740 0.5089721699998 -0.1140441899999
0.0000680272110 0.4739379900000 -0.1460571300000
0.0000907029480 0.4146728500000 -0.1281738300000
0.0001133786800 0.3310241700000 -0.0673828120000
0.0001360544200 0.2143554700000 -0.0002746582000
0.0001587301600 0.0715637210000 0.0733032230000
0.0001814059000 -0.0862426760000 0.1109924300000
0.0002040816300 -0.2398071300000 0.1049804700000
0.0002267573700 -0.3540039100000 0.1110534699999
0.0002494331100 -0.4097595200001 0.1362914999999
0.0002721088400 -0.4042968800001 0.1872863799999
0.0002947845800 -0.3477478000001 0.2631835899999
0.0003174603200 -0.2778625500001 0.2937622099999
0.0003401360500 -0.2300720200001 0.2499084499999
0.0003628117900 -0.2218017600000 0.1488342300000
0.0003854875300 -0.2646789600000 -0.0015258789000
0.0004081632700 -0.3404846200000 -0.1408996599999
0.0004308390000 -0.4169616700000 -0.2217712400000
0.0004535147400 -0.4748230000000 -0.2591552700000
0.0004761904800 -0.4920959500000 -0.2463989300000
0.0004988662100 -0.4658508300000 -0.1835327099998
0.0005215419500 -0.4178466800000 -0.0774230960000
0.0005442176900 -0.3588562000001 0.1163330100001
0.0005668934200 -0.3031616200001 0.4122009300002
0.0005895691600 -0.2611389200000 0.7750549300001
0.0006122449000 -0.2186584500000 0.9999389600003
0.0006349206300 -0.1726989700000 0.9999694800004
0.0006575963700 -0.1264953600000 0.9999389600004
0.0006802721100 -0.0773010250000 0.9999694800002
0.0007029478500 -0.0461425780000 0.9999694800004
0.0007256235800 -0.0479736330000 0.9999389600000
0.0007482993200 -0.0739440920000 0.9999694800000
0.0007709750600 -0.1172790500000 0.9999694799998
0.0007936507900 -0.1503601100000 0.9999694800000
0.0008163265300 -0.1425170900000 0.9156799300001
0.0008390022700 -0.0970458980000 0.6232910200001
0.0008616780000 -0.0217285160000 0.2875366199999
0.0008843537400 0.0615234380000 -0.0706481930000
0.0009070294800 0.1132812500000 -0.4454040500002
0.0009297052200 0.1261596700000 -0.8233032200003
0.0009523809500 0.1061706499999 -1.0000000000002
0.0009750566900 0.0614624020000 -0.9999389600004
0.0009977324300 0.0246582030000 -1.0000000000005
0.0010204082000 0.0090026855000 -0.9999694800005
0.0010430839000 0.0126342770001 -0.9999694800004
0.0010657596000 0.0510864260001 -1.0000000000004
0.0010884354000 0.1268615700000 -1.0000000000000
0.0011111111000 0.2478332500000 -0.9999389600000
0.0011337868000 0.4358215300000 -0.9999694799999
0.0011564626000 0.6757202100000 -1.0000000000000
0.0011791383000 0.9371643100001 -1.0000000000001
0.0012018141000 0.9999694800001 -0.9215393100001
0.0012244898000 0.9999389600000 -0.4787292499999
0.0012471655000 0.9999694800001 -0.0346679690000
0.0012698413000 0.9999694800004 0.3429260300002
0.0012925170000 0.9999694800004 0.5971374500003
0.0013151927000 0.9999694800002 0.7032775900000
0.0013378685000 0.8087463400003 0.6632690400003
0.0013605442000 0.5598449700003 0.5381469700003
0.0013832200000 0.3069763200002 0.4085083000003
0.0014058957000 0.0573120120001 0.3243103000003
0.0014285714000 -0.1906433100000 0.3190307600003
0.0014512472000 -0.4098815900000 0.3736877400000
0.0014739229000 -0.5861816400000 0.4255371100000
0.0014965986000 -0.7214965799999 0.4395751999999
0.0015192744000 -0.8106079100000 0.3872985800000
0.0015419501000 -0.8769531200001 0.2647094700000
0.0015646259000 -0.9452209500001 0.1238098100000
0.0015873016000 -1.0000000000000 -0.0046386719000
0.0016099773000 -1.0000000000001 -0.1059265100000
0.0016326531000 -0.9999694800003 -0.1589660600002
0.0016553288000 -1.0000000000003 -0.1988830600002
0.0016780045000 -0.9999389600002 -0.2581787100002
0.0017006803000 -1.0000000000003 -0.3325805700003
0.0017233560000 -0.9524231000003 -0.4315490700003
0.0017460317000 -0.7603454600002 -0.5125122100003
0.0017687075000 -0.5468139600001 -0.4976501500000
0.0017913832000 -0.3385925300001 -0.3583374000002
0.0018140590000 -0.1767883300000 -0.0663452150000
0.0018367347000 -0.0730896000000 0.3630676300000
0.0018594104000 -0.0289611820001 0.8270873999998
0.0018820862000 -0.0452575680000 0.9999694799999
0.0019047619000 -0.0964660640000 0.9999694800001
0.0019274376000 -0.1652832000000 0.9999389600001
0.0019501134000 -0.2465515100000 0.9999694800000
0.0019727891000 -0.3181152300000 0.9999694800001
0.0019954649000 -0.3690490700001 0.9999694800004
0.0020181406000 -0.3905334500001 0.9999694800004
0.0020408163000 -0.3617248500000 0.9999694800003
0.0020634921000 -0.2873840300001 0.9999694800003
0.0020861678000 -0.1833190900001 0.9370727500004
0.0021088435000 -0.0631103520000 0.8505859400003
0.0021315193000 0.0432434079999 0.7382507300001
0.0021541950000 0.1210022000000 0.6030578600001
0.0021768707000 0.1790771500000 0.3926391600000
0.0021995465000 0.2214050300000 0.0863647460000
0.0022222222000 0.2605896000000 -0.2707214399999
0.0022448980000 0.3064880400000 -0.6609497100000
0.0022675737000 0.3481140100000 -0.9999694800001
0.0022902494000 0.3858032200000 -1.0000000000001
0.0023129252000 0.4304199200001 -0.9999999999999
0.0023356009000 0.4915161100001 -0.9999694800001
0.0023582766000 0.5934143100002 -0.9999694800005
0.0023809524000 0.7480468800003 -0.9999694800004
0.0024036281000 0.9385376000002 -0.9999389600002
0.0024263039000 0.9999694800003 -0.7632141100003
0.0024489796000 0.9999694800004 -0.4566345200003
0.0024716553000 0.9999694800004 -0.1440734900001
0.0024943311000 0.9999694800003 0.1200866699998
